id;price;zipcode;grade;median price;condition;reference price;sale price
3810000860.0;240000.0;98178;8.0;278277.0;3.0;279733.3333333333;312000.0
3348401490.0;265000.0;98178;8.0;278277.0;3.0;279733.3333333333;344500.0
3992700036.0;415000.0;98125;8.0;425000.0;3.0;400791.6666666667;456500.00000000006
1160000115.0;401000.0;98125;8.0;425000.0;3.0;400791.6666666667;441100.00000000006
6161000015.0;349950.0;98125;8.0;425000.0;3.0;400791.6666666667;454935.0
2926049449.0;384400.0;98125;8.0;425000.0;3.0;400791.6666666667;499720.0
2926049408.0;400000.0;98125;8.0;425000.0;3.0;400791.6666666667;520000.0
6413100122.0;369950.0;98125;8.0;425000.0;3.0;400791.6666666667;480935.0
3448000410.0;354901.0;98125;8.0;425000.0;3.0;400791.6666666667;461371.3
2126049096.0;399000.0;98125;8.0;425000.0;3.0;400791.6666666667;518700.0
1787600165.0;396500.0;98125;8.0;425000.0;3.0;400791.6666666667;515450.0
3822200105.0;380000.0;98125;8.0;425000.0;3.0;400791.6666666667;494000.0
820000012.0;401000.0;98125;8.0;425000.0;3.0;400791.6666666667;441100.00000000006
2026049183.0;324950.0;98125;8.0;425000.0;3.0;400791.6666666667;422435.0
2026049124.0;325000.0;98125;8.0;425000.0;3.0;400791.6666666667;422500.0
7508700085.0;386500.0;98125;8.0;425000.0;3.0;400791.6666666667;502450.0
1454100122.0;405000.0;98125;8.0;425000.0;3.0;400791.6666666667;445500.00000000006
9421500130.0;378000.0;98125;8.0;425000.0;4.0;400791.6666666667;491400.0
9421500150.0;403500.0;98125;8.0;425000.0;3.0;400791.6666666667;443850.00000000006
820000018.0;387500.0;98125;8.0;425000.0;3.0;400791.6666666667;503750.0
6413100242.0;400000.0;98125;8.0;425000.0;3.0;400791.6666666667;520000.0
2926049564.0;360000.0;98125;8.0;425000.0;3.0;400791.6666666667;468000.0
2325300037.0;358000.0;98125;8.0;425000.0;3.0;400791.6666666667;465400.0
3753000100.0;399000.0;98125;8.0;425000.0;3.0;400791.6666666667;518700.0
6632300212.0;366750.0;98125;8.0;425000.0;3.0;400791.6666666667;476775.0
8822901175.0;345000.0;98125;8.0;425000.0;3.0;400791.6666666667;448500.0
3753000030.0;399950.0;98125;8.0;425000.0;3.0;400791.6666666667;519935.0
3753000010.0;417250.0;98125;8.0;425000.0;3.0;400791.6666666667;458975.00000000006
6632300207.0;385000.0;98125;8.0;425000.0;3.0;400791.6666666667;500500.0
5634500392.0;330000.0;98028;8.0;445000.0;4.0;441525.0;429000.0
3815500045.0;399000.0;98028;8.0;445000.0;3.0;441525.0;518700.0
